min                 最小的
fries               薯條
potatoes            馬鈴薯
bean                豆
cole                高麗菜
corn                玉米
Brownie             布朗尼
pancake             烤薄餅
donut               甜甜圈
bagel               培果
muffin              鬆餅
wonderful           太棒了
incredible          另人難以置信
great               太好了
pretty              漂亮
awesome             太棒了
suck                吸
homework            作業
sick                厭煩
tired               疲倦
terrible            糟糕
horrible            糟糕
turn-off            關上
scared              驚嚇
frightened          驚嚇
stupid              愚蠢
attitude            態度
black               黑
act                 行為
how                 如何
you                 妳(你)
what                什麼
can                 可以
do                  做
me                  我
study               研讀
where               哪裡
go                  走
are                 Be動詞
color               顏色
car                 汽車
on                  在...之上
see                 看
movie               電影
anybody             任何人
need                需要
fork                叉子
he                  他
fraternity          家庭
brother             兄弟
return              退回
this                這
book                書
i                   我
want                想要
renew               續借
just                剛剛
buy                 買
brand               新的、剛買的
new                 新的
really              真實的
no                  沒有
it                  它
is                  Be動詞
course              課程
she                 她
there               那裡
any                 任何
way                 方法
we                  我們
move                移動
power               力量
off                 關閉
tomorrow            明天
back                後面
please              請
low                 低
wate                水
some                一點點
eyes                眼睛
my                  我的
much                如何
pay                 付賬
every               時常
month               月份
double              雙重
customer            顧客
will                即將
egg                 雞蛋
sorry               抱歉
cash                現金
only                只有
price               價格
down                下降
sale                賣
today               今天
give                給
invoice             發票
look                看
hey                 嗨
gorgeou             漂亮
babe                嬰兒
turn                轉
think               想
hottie              辣妹
know                知道
cutie               可愛
wife                妻子
cover               覆蓋
test                測試
final               最後
slut                蕩婦
old                 舊的
exam                考試
bring               帶
next                下一個
more                更多
easy                簡單
grade               分數
have                有
pass                通過
feet                腳
over                結束
up                  上面
bed                 床
in                  在...之中
ten                 十
minute              分鐘
before              之前
after               之後
road                道路
all                 全部
at                  在
chance              機會
hold                抓住
cup                 杯子
door                門
for                 給
fix                 煮
right               對的
out                 外面
plate               食物
hair                頭髮
bad                 壞的
stay                待在原地
home                家
during              在...其中
weekend             週末
oh                  原來
lastone             最後一個
parents             父母
live                居住
Europe              歐洲
because             因為
boston              波士頓
never               從不
less                少
keep                保持
pizza               比薩
here                這裡
tell                告訴
top                 頂點
head                頭
understand          了解
brain               大腦
problem             問題
idea                意見
point               重點
alone               一個人
heard               聽
everybody           每個人
pick                撿
dance               跳舞
like                喜歡
an                  一個
good                好的
time                時間
wood                木頭
ticket              門票
year                年
finger              手指
Sunday              星期日
winter              冬天
break               中斷
pull                拉
four                四
nine                九
night               晚上
so                  如此
hard                困難
with                和
girlfriend          女朋友
sleep               睡著
cut                 剪下
zoo                 動物園
apple               蘋果
approve             贊成, 批准
applied             應用的
bonnie              漂亮的
canada              加拿大
